sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38
R339,238969,-0.07095758732715203,0.0002915470084394112,0.003769730700348838,0.0002332896908764324,4.629954783052364e-05,-0.00046360872182734584,0.0025326140525511807,1.5895131528454472e-05,0.0013704770775199594,-6.248368229550653e-05,-0.0007995630370412105,-0.0010789482668402833,-1.8915932714959593e-05,-0.00019683937734609375,-0.0006145111059020124,-0.00013489427793871177,-4.2078334301130485e-05,0.0001712857737370336,-5.615915841226463e-05,0.0002562186362536695,9.823344853575913e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R365,238994,-0.07103932994561815,0.000291312016659742,0.0038448799523410067,0.00023806009544903014,5.268551070882931e-05,0.00011491516392236008,0.001293609446798683,-2.8864129623400607e-06,0.0019292781935720197,-7.118320884689292e-05,-0.0014283953822627508,-0.0008598214554261121,-0.0009459673364804013,-6.476283348887887e-05,-0.0008027018462102776,-0.00019830493199923032,5.0739072163263094e-05,-0.0004400611334845683,-1.6189602723974134e-05,-0.00016234471063482977,-7.526674153807905e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R359,238988,-0.056437440426795306,0.0006065271852284026,0.0031047447088562263,0.00021344559061134603,0.0001603984312004795,0.002454375069118016,-0.004498956422273255,0.0008654482499312324,0.0013405037663450506,-0.0002883208796784448,-0.00029747955636472124,-0.0016852871360764736,0.0005521668439595597,0.0011139130053819987,-0.0004229404796934321,2.0038263101041425e-05,-0.00010420144679558118,0.00022261811381883416,3.1287241953498034e-06,2.9493528772445853e-05,-1.3271358516218058e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R368,238997,-0.06826742575255257,0.00035231394918554894,0.003634060189602133,0.00022842195106597535,8.18157501553716e-05,0.0019159666007866187,-0.0028465623688762654,0.00018422154666033534,-0.0006331996198633759,-1.8685710195431464e-05,0.001126841878084668,-0.0015283294141358336,0.0016289926907160554,0.0006154809244835856,0.0008954823784676255,-4.749395937620602e-05,7.214068287603209e-05,-0.0002890170735855019,-3.160007173616592e-05,-1.4674026895461212e-05,8.593342272050428e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDA_181,239236,-0.09253340565745197,0.0002131076315959946,0.022329773933130587,0.0008292094575021182,-0.00030878811107032367,-0.010156671479240945,-0.0028156883633951475,-8.20067958481858e-05,0.002172501543138004,1.6774107869541142e-05,0.0004384595237081571,0.00014968191415274326,0.000736502645692471,0.00013489367114440795,-4.325463341289389e-05,-2.705335944918632e-05,-1.9604040190814578e-05,6.362393625441963e-06,-1.0479310497584169e-05,2.2218598260944535e-06,3.482734194326291e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R297,238927,0.3118620632168139,0.043357391022334886,-0.00024115803640540636,-0.011075570789793696,-0.002757158858165208,0.00035572424705694914,0.00019058616216679306,0.0048633479382234135,4.6819136974874484e-05,-0.000523340895259737,1.256176461640979e-05,5.2652096686386e-05,-1.0205326708414476e-05,9.974673727323374e-06,-4.327955196270852e-06,2.438634232055007e-07,-6.518557422798502e-06,1.2802961095365396e-05,-9.854420514353757e-07,3.81845489582805e-06,-1.262592363399447e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R414,239014,-0.07559770199782694,0.00042994342070384954,0.012768860565160607,0.0005179095051267205,8.487256727052752e-05,0.008342332270632018,0.0025632698461833976,-0.0004470294603162581,-0.0017320645848699053,0.00011547684143419423,0.0033100805260700187,-0.002179174100318334,-0.0020787840706410093,-0.00048066736124444305,0.00017334714889160244,-0.00020059320376107642,1.1197650376570045e-06,5.9609357932256254e-05,2.6409955610265896e-05,-2.078881789613061e-05,-4.5724552612745565e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDA_106,239174,0.30985241045664325,-0.022375346982961557,0.0007365862766182793,-0.010818034779095646,0.006586886686137163,9.781313693630669e-05,4.206511228158141e-05,-2.080269691707499e-05,-8.140822343056356e-05,-0.006311938954559253,0.0001534206022067561,0.00010185919892744621,-8.331416981270093e-06,-2.5528090503168616e-05,1.0457871219971606e-06,-9.052214607515068e-08,-1.6122633811211174e-07,8.472405934383319e-07,-8.589377169615227e-08,3.55056012053669e-07,-1.2179491086118298e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDA_015,239098,0.3262621403163118,0.003873250039176563,-0.0015839284997273269,0.030136808944052133,0.008296044576468155,3.924641003902143e-05,0.00010033762232106107,0.0030808601076840986,2.4372682548640986e-05,-0.0005910124481024652,1.8406600656371693e-05,7.74809504524004e-06,-5.73437771858977e-07,6.541113986183755e-05,-1.2405548481062047e-05,1.119251313678851e-06,-1.5695809536705555e-05,2.99568987884201e-05,-2.243621424373607e-06,8.697268853110656e-06,-2.8830521208795547e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDA_021,239102,0.3081314568753203,-0.02037310146524483,0.0005280106036635353,-0.008802162573057734,0.007609577503387962,7.558857959385581e-05,0.00010144199744807328,0.0038602561148291556,0.00011744340142382308,0.005932303217052403,-0.00012959700941024522,-3.2533485509338085e-06,-1.5247480896562617e-06,-6.147303635959204e-05,9.994769509911645e-06,-8.953061110560652e-07,1.1646918437217944e-05,-2.1781374103714926e-05,1.6123596600314757e-06,-6.228517541749477e-06,2.060352865557991e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDA_196,239247,0.30592513970252594,-0.012072521879771758,-0.0007449504091541003,0.013637445226004392,-0.016790890354556758,0.00013893226692625972,-1.7131607665004052e-05,-0.0007795862064518486,-2.7758964364047362e-06,5.6195313236516545e-05,1.2515056756982367e-06,5.5269527885045716e-05,-6.825911388246662e-06,-0.0001051234009201669,1.649163662921063e-05,-1.5135826872440615e-06,1.9277118809550633e-05,-3.616224264377907e-05,2.679441541013623e-06,-1.0362189341896794e-05,3.4308298160129854e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BDA_200,239251,0.28804490899435403,0.0020729420128948964,-0.0008784969662831722,-0.005992452103949763,-0.0021277091366344422,-0.0003957022593746604,-5.363168658048336e-05,0.0014901282603050675,6.51291528970079e-05,-0.000995085454411379,5.725031772488413e-05,0.00036576711779946113,-4.636302809367691e-05,-0.00037004962634098624,4.7362716416809955e-05,-4.482519960205515e-06,4.8800648616184946e-05,-8.858550581710667e-05,6.421946667702705e-06,-2.471519323339541e-05,8.162852260062247e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
