"","sample_name","collection_date","collection_site","collection_latitude","collection_longitude","species_code"
"156","KL-CP-47",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"157","KL-CP-41",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"158","KL-CP-42",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"159","KL-CP-60",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"160","KL-CP-56",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"161","KL-CP-72",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"162","KL-CP-73",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"163","KL-CP-84",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"164","KL-CP-79",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"165","KL-CP-82",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"166","KL-CP-83",20201012,"Cheeca",24.90399933,-80.61685944,"PAST"
"167","Tri-14",20210702,"Triangles",25.00873947,-80.44978333,"PAST"
"168","Tri-10",20210702,"Triangles",25.00873947,-80.44978333,"PAST"
"169","Tri-38",20210702,"Triangles",25.00873947,-80.44978333,"PAST"
"170","Tri-34",20210702,"Triangles",25.00873947,-80.44978333,"PAST"
"171","Tri-44",20210702,"Triangles",25.00873947,-80.44978333,"PAST"
"172","Tr-6",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"PAST"
"173","Tr-7",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"PAST"
"174","KL-CP-90",20201012,"Cheeca",24.90399933,-80.61685944,"PCLI"
"175","Tr-28",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"PCLI"
"176","Tri-50",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"PCLI"
"177","Tri-55",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"PCLI"
"178","CR-26",20210702,"Conch",24.94844437,-80.46238708,"PPOR"
"179","KL-PR-6",20201012,"Pickles",24.98698044,-80.41486359,"PPOR"
"180","Tri-4",20210702,"Triangles",25.00873947,-80.44978333,"PPOR"
"181","Tri-33",20210702,"Triangles",25.00873947,-80.44978333,"PPOR"
"182","Tri-41",20210702,"Triangles",25.00873947,-80.44978333,"PPOR"
"183","Tr-29",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"PSTR"
"184","CR-17",20210702,"Conch",24.94844437,-80.46238708,"PSTR"
"185","CR-18",20210702,"Conch",24.94844437,-80.46238708,"PSTR"
"186","CR-32",20210702,"Conch",24.94844437,-80.46238708,"PSTR"
"187","KL-CP-69",20201012,"Cheeca",24.90399933,-80.61685944,"PSTR"
"188","Tri-54",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"PSTR"
"189","Tri-60",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"PSTR"
"190","Tr-5",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"PSTR"
"191","KL-CP-40",20201012,"Cheeca",24.90399933,-80.61685944,"SBOU"
"192","Tri-6",20210702,"Triangles",25.00873947,-80.44978333,"SBOU"
"193","Tri-27",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SBOU"
"194","Tri-19",20210702,"Triangles",25.00873947,-80.44978333,"SBOU"
"195","Tri-32",20210702,"Triangles",25.00873947,-80.44978333,"SBOU"
"196","Tr-14",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SBOU"
"197","Tr-8",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SBOU"
"198","Tr-17",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SBOU"
"199","Tr-26",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SBOU"
"200","Tr-27",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SBOU"
"201","Tr-22",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SBOU"
"202","Tr-24",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SBOU"
"203","Tri-1",20210702,"Triangles",25.00873947,-80.44978333,"SBOU"
"204","CR-4",20210702,"Conch",24.94844437,-80.46238708,"SINT"
"205","CR-7",20210702,"Conch",24.94844437,-80.46238708,"SINT"
"206","CR-30",20210702,"Conch",24.94844437,-80.46238708,"SINT"
"207","CR-34",20210702,"Conch",24.94844437,-80.46238708,"SINT"
"208","CR-41",20210702,"Conch",24.94844437,-80.46238708,"SINT"
"209","CR-55",20210702,"Conch",24.94844437,-80.46238708,"SINT"
"210","CR-46",20210702,"Conch",24.94844437,-80.46238708,"SINT"
"211","CR-52",20210702,"Conch",24.94844437,-80.46238708,"SINT"
"212","KL-CP-6",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"213","KL-CP-13",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"214","KL-CP-15",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"215","KL-CP-48",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"216","KL-CP-49",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"217","KL-CP-61",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"218","KL-CP-51",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"219","KL-CP-57",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"220","KL-CP-63",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"221","KL-CP-65",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"222","KL-CP-71",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"223","KL-CP-86",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"224","KL-CP-89",20201012,"Cheeca",24.90399933,-80.61685944,"SINT"
"225","KL-PR-4",20201012,"Pickles",24.98698044,-80.41486359,"SINT"
"226","Tri-36",20210702,"Triangles",25.00873947,-80.44978333,"SINT"
"227","Tr-13",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SINT"
"228","Tr-18",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SINT"
"229","Tr-20",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SINT"
"230","CR-28",20210702,"Conch",24.94844437,-80.46238708,"SRAD"
"231","CR-29",20210702,"Conch",24.94844437,-80.46238708,"SRAD"
"232","CR-59",20210702,"Conch",24.94844437,-80.46238708,"SRAD"
"233","Tr-15",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SRAD"
"234","Tr-25",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SRAD"
"235","CR-25",20210702,"Conch",24.94844437,-80.46238708,"SSID"
"236","CR-42",20210702,"Conch",24.94844437,-80.46238708,"SSID"
"237","CR-60",20210702,"Conch",24.94844437,-80.46238708,"SSID"
"238","Tri-3",20210702,"Triangles",25.00873947,-80.44978333,"SSID"
"239","Tri-9",20210702,"Triangles",25.00873947,-80.44978333,"SSID"
"240","Tri-42",20210702,"Triangles",25.00873947,-80.44978333,"SSID"
"241","Tr-9",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SSID"
"242","Tr-10",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SSID"
"243","Tr-11",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"SSID"
"244","Tri-35",20210702,"Triangles",25.00873947,-80.44978333,"UNK"
"245","CR-31",20210702,"Conch",24.94844437,-80.46238708,"UNK"
"246","CR-40",20210702,"Conch",24.94844437,-80.46238708,"UNK"
"247","KL-CP-78",20201012,"Cheeca",24.90399933,-80.61685944,"UNK"
"248","KL-PR-11",20201012,"Pickles",24.98698044,-80.41486359,"UNK"
"249","KL-PR-12",20201012,"Pickles",24.98698044,-80.41486359,"UNK"
"250","KL-PR-13",20201012,"Pickles",24.98698044,-80.41486359,"UNK"
"251","KL-PR-14",20201012,"Pickles",24.98698044,-80.41486359,"UNK"
"252","KL-PR-15",20201012,"Pickles",24.98698044,-80.41486359,"UNK"
"253","KL-PR-16",20201012,"Pickles",24.98698044,-80.41486359,"UNK"
"254","Tri-21",20210702,"Triangles",25.00873947,-80.44978333,"UNK"
"255","Tri-22",20210702,"Triangles",25.00873947,-80.44978333,"UNK"
"256","Tr-12",20210702,"Tavernier Rocks",24.93535233,-80.54960632,"UNK"
"257","KL-258",20010623,"Tavernier Rocks",24.93535233,-80.54960632,"CARB"
"258","KL-260",20010623,"Tavernier Rocks",24.93535233,-80.54960632,"CARB"
"259","KL-5-foamy",20010621,"Little Grecian",25.11901093,-80.30082703,"CNAT"
"260","KL-35",20010621,"Little Grecian",25.11901093,-80.30082703,"CNAT"
"261","KL-589",20030522,"Pickles",24.98698044,-80.41486359,"CNAT"
"262","KL-699",20030930,"Cheeca",24.90399933,-80.61685944,"CNAT"
"263","KL-60",20010621,"Outer Reef",25.11186028,-80.28582764,"CNAT"
"264","KL-68",20010621,"Outer Reef",25.11186028,-80.28582764,"CNAT"
"265","KL-84",20010622,"Conch",24.94844437,-80.46238708,"CNAT"
"266","KL-245",20010623,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"267","KL-248",20010623,"Tavernier Rocks",24.93535233,-80.54960632,"CNAT"
"268","KL-342",20020926,"Cheeca",24.90399933,-80.61685944,"DLAB"
