sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,species_name,collection_latitude,collection_longitude,collection_date,collection_depth,collection_site,collection_batch
KL-80,KL-80_S303_L001_R1_001.fastq.gz,KL-80_S303_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20010622,18.8,Conch,historical
KL-82,KL-82_S304_L001_R1_001.fastq.gz,KL-82_S304_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20010622,18.6,Conch,historical
KL-99,KL-99_S309_L001_R1_001.fastq.gz,KL-99_S309_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20010622,15.9,Conch,historical
KL-95,KL-95_S316_L001_R1_001.fastq.gz,KL-95_S316_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20010622,15.7,Conch,historical
KL-114,KL-114_S322_L001_R1_001.fastq.gz,KL-114_S322_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20010622,19.6,Conch,historical
KL-112,KL-112_S330_L001_R1_001.fastq.gz,KL-112_S330_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20010622,19.1,Conch,historical
KL-120,KL-120_S338_L001_R1_001.fastq.gz,KL-120_S338_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.94844437,-80.46238708,20010622,15.5,Conch,historical
KL-159,KL-159_S348_L001_R1_001.fastq.gz,KL-159_S348_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.00873947,-80.44978333,20010622,2.1,Triangles,historical
KL-161,KL-161_S350_L001_R1_001.fastq.gz,KL-161_S350_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.00873947,-80.44978333,20010622,2,Triangles,historical
KL-164,KL-164_S353_L001_R1_001.fastq.gz,KL-164_S353_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.00873947,-80.44978333,20010622,2.3,Triangles,historical
KL-165,KL-165_S354_L001_R1_001.fastq.gz,KL-165_S354_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.00873947,-80.44978333,20010622,2.3,Triangles,historical
KL-234,KL-234_S356_L001_R1_001.fastq.gz,KL-234_S356_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,24.93535233,-80.54960632,20010623,2.9,Tavernier Rocks,historical
KL-176,KL-176_S362_L001_R1_001.fastq.gz,KL-176_S362_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,astreoides,P.astreoides,25.00873947,-80.44978333,20010622,2.8,Triangles,historical
